[2024-01-05T12:00:24.889+0000] {taskinstance.py:1957} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: load_data_parquet.load_data_order_products__prior manual__2024-01-05T12:00:08.484737+00:00 [queued]>
[2024-01-05T12:00:24.906+0000] {taskinstance.py:1957} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: load_data_parquet.load_data_order_products__prior manual__2024-01-05T12:00:08.484737+00:00 [queued]>
[2024-01-05T12:00:24.907+0000] {taskinstance.py:2171} INFO - Starting attempt 1 of 1
[2024-01-05T12:00:24.937+0000] {taskinstance.py:2192} INFO - Executing <Task(PythonOperator): load_data_order_products__prior> on 2024-01-05 12:00:08.484737+00:00
[2024-01-05T12:00:24.945+0000] {standard_task_runner.py:60} INFO - Started process 66 to run task
[2024-01-05T12:00:24.951+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'load_data_parquet', 'load_data_order_products__prior', 'manual__2024-01-05T12:00:08.484737+00:00', '--job-id', '3', '--raw', '--subdir', 'DAGS_FOLDER/load_data_parquet.py', '--cfg-path', '/tmp/tmp690sevui']
[2024-01-05T12:00:24.955+0000] {standard_task_runner.py:88} INFO - Job 3: Subtask load_data_order_products__prior
[2024-01-05T12:00:25.054+0000] {task_command.py:423} INFO - Running <TaskInstance: load_data_parquet.load_data_order_products__prior manual__2024-01-05T12:00:08.484737+00:00 [running]> on host e80d60e00ebe
[2024-01-05T12:00:25.192+0000] {taskinstance.py:2481} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='load_data_parquet' AIRFLOW_CTX_TASK_ID='load_data_order_products__prior' AIRFLOW_CTX_EXECUTION_DATE='2024-01-05T12:00:08.484737+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-01-05T12:00:08.484737+00:00'
[2024-01-05T12:00:25.217+0000] {logging_mixin.py:188} INFO - starting:order_products__prior
[2024-01-05T12:00:25.252+0000] {logging_mixin.py:188} INFO - loading chunk:0
[2024-01-05T12:00:28.346+0000] {logging_mixin.py:188} INFO - loading chunk:1
[2024-01-05T12:00:31.241+0000] {logging_mixin.py:188} INFO - loading chunk:2
[2024-01-05T12:00:34.064+0000] {logging_mixin.py:188} INFO - loading chunk:3
[2024-01-05T12:00:37.163+0000] {logging_mixin.py:188} INFO - loading chunk:4
[2024-01-05T12:00:40.036+0000] {logging_mixin.py:188} INFO - loading chunk:5
[2024-01-05T12:00:43.411+0000] {logging_mixin.py:188} INFO - loading chunk:6
[2024-01-05T12:00:46.330+0000] {logging_mixin.py:188} INFO - loading chunk:7
[2024-01-05T12:00:49.310+0000] {logging_mixin.py:188} INFO - loading chunk:8
[2024-01-05T12:00:52.190+0000] {logging_mixin.py:188} INFO - loading chunk:9
[2024-01-05T12:00:55.319+0000] {logging_mixin.py:188} INFO - loading chunk:10
[2024-01-05T12:00:58.392+0000] {logging_mixin.py:188} INFO - loading chunk:11
[2024-01-05T12:01:01.811+0000] {logging_mixin.py:188} INFO - loading chunk:12
[2024-01-05T12:01:04.878+0000] {logging_mixin.py:188} INFO - loading chunk:13
[2024-01-05T12:01:07.896+0000] {logging_mixin.py:188} INFO - loading chunk:14
[2024-01-05T12:01:11.030+0000] {logging_mixin.py:188} INFO - loading chunk:15
[2024-01-05T12:01:14.971+0000] {logging_mixin.py:188} INFO - loading chunk:16
[2024-01-05T12:01:18.314+0000] {logging_mixin.py:188} INFO - loading chunk:17
[2024-01-05T12:01:21.604+0000] {logging_mixin.py:188} INFO - loading chunk:18
[2024-01-05T12:01:24.996+0000] {logging_mixin.py:188} INFO - loading chunk:19
[2024-01-05T12:01:28.791+0000] {logging_mixin.py:188} INFO - loading chunk:20
[2024-01-05T12:01:32.302+0000] {logging_mixin.py:188} INFO - loading chunk:21
[2024-01-05T12:01:35.589+0000] {logging_mixin.py:188} INFO - loading chunk:22
